"CellId","Species","DetHist","Missed","Detected"
"14_4","amyllapp",1,1,0
"18_1","amyllapp",11,0,1
"20_2","amyllapp",11,0,1
"18_1","antrcitr",11,0,1
"20_3","antrcitr",11,0,1
"20_4","antrcitr",1,1,0
"14_1","antrseri",11,0,1
"14_4","antrseri",11,0,1
"14_5","antrseri",1,1,0
"18_1","antrseri",11,0,1
"18_2","antrseri",11,0,1
"18_3","antrseri",11,0,1
"18_4","antrseri",11,0,1
"20_1","antrseri",11,0,1
"20_2","antrseri",11,0,1
"20_3","antrseri",11,0,1
"20_4","antrseri",11,0,1
"20_5","antrseri",1,1,0
"14_1","fomipini",11,0,1
"14_2","fomipini",11,0,1
"14_3","fomipini",11,0,1
"14_4","fomipini",11,0,1
"14_5","fomipini",11,0,1
"18_1","fomipini",11,0,1
"18_2","fomipini",11,0,1
"18_3","fomipini",11,0,1
"18_4","fomipini",11,0,1
"20_1","fomipini",11,0,1
"20_2","fomipini",11,0,1
"20_3","fomipini",11,0,1
"20_4","fomipini",11,0,1
"20_5","fomipini",11,0,1
"18_2","fomirose",11,0,1
"14_3","gloesepi",11,0,1
"14_4","phelferr",11,0,1
"18_1","phelferr",11,0,1
"18_2","phelferr",1,1,0
"18_3","phelferr",1,1,0
"20_2","phelferr",1,1,0
"20_4","phelferr",11,0,1
"14_2","phelnigr",11,0,1
"14_3","phelnigr",11,0,1
"14_4","phelnigr",11,0,1
"14_5","phelnigr",1,1,0
"18_1","phelnigr",11,0,1
"20_1","phelnigr",11,0,1
"20_2","phelnigr",11,0,1
"20_3","phelnigr",11,0,1
"20_5","phelnigr",11,0,1
"14_1","phelviti",11,0,1
"14_4","phelviti",11,0,1
"18_1","phelviti",1,1,0
"18_3","phelviti",1,1,0
"20_1","phelviti",11,0,1
"20_2","phelviti",11,0,1
"20_3","phelviti",11,0,1
"20_4","phelviti",11,0,1
"20_5","phelviti",11,0,1
"18_2","phlecent",11,0,1
"20_4","phlecent",1,1,0
"14_1","tricabie",11,0,1
"14_2","tricabie",11,0,1
"14_3","tricabie",11,0,1
"14_4","tricabie",11,0,1
"14_5","tricabie",11,0,1
"18_1","tricabie",11,0,1
"18_2","tricabie",11,0,1
"18_3","tricabie",11,0,1
"20_1","tricabie",11,0,1
"20_2","tricabie",11,0,1
"20_3","tricabie",11,0,1
"20_4","tricabie",11,0,1
"20_5","tricabie",11,0,1
