"StandID","amyllapp_T1","antrseri_T1","fomipini_T1","fomirose_T1","gloesepi_T1","phelferr_T1","phelnigr_T1","phelviti_T1","phlecent_T1","tricabie_T1","amyllapp_T2","antrseri_T2","fomipini_T2","fomirose_T2","gloesepi_T2","phelferr_T2","phelnigr_T2","phelviti_T2","phlecent_T2","tricabie_T2"
140,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
186,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
196,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
203,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
226,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
252,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
262,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
265,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
285,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
286,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
287,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
288,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
295,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
297,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
299,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
301,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
304,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
305,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0
306,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
307,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
308,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
310,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
400,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
417,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
434,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
436,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
466,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
